algorithm,arrType,n,dominantOps
bubbleSort,sorted,66,65
bubbleSort,sortedInReverse,66,2145
bubbleSort,randomOrder,66,2145
insertSort,sorted,66,65
insertSort,sortedInReverse,66,2210
insertSort,randomOrder,66,1091
quickSort,sorted,66,131
quickSort,sortedInReverse,66,131
quickSort,randomOrder,66,93
linearSearch,sorted,67,58
linearSearch,sortedInReverse,67,44
linearSearch,randomOrder,67,48
binarySearch,sorted,67,6
bubbleSort,sorted,67,66
bubbleSort,sortedInReverse,67,2211
bubbleSort,randomOrder,67,2145
insertSort,sorted,67,66
insertSort,sortedInReverse,67,2277
insertSort,randomOrder,67,1163
quickSort,sorted,67,133
quickSort,sortedInReverse,67,133
quickSort,randomOrder,67,93
linearSearch,sorted,68,30
linearSearch,sortedInReverse,68,68
linearSearch,randomOrder,68,28
binarySearch,sorted,68,6
bubbleSort,sorted,68,67
bubbleSort,sortedInReverse,68,2278
bubbleSort,randomOrder,68,2250
insertSort,sorted,68,67
insertSort,sortedInReverse,68,2345
insertSort,randomOrder,68,1171
quickSort,sorted,68,135
quickSort,sortedInReverse,68,135
quickSort,randomOrder,68,91
